"filename", "language", "JavaScript", "JSON", "Markdown", "HTML", "PostCSS", "Batch", "Python", "comment", "blank", "total"
"d:\Libraries\Desktop\harryswebsite\collection-hub\export-to-github.js", "JavaScript", 65, 0, 0, 0, 0, 0, 0, 30, 19, 114
"d:\Libraries\Desktop\harryswebsite\collection-hub\fullPokemonList.json", "JSON", 0, 12235, 0, 0, 0, 0, 0, 0, 0, 12235
"d:\Libraries\Desktop\harryswebsite\collection-hub\generate-popfigures.js", "JavaScript", 58, 0, 0, 0, 0, 0, 0, 7, 21, 86
"d:\Libraries\Desktop\harryswebsite\collection-hub\generate_pokemon.js", "JavaScript", 26, 0, 0, 0, 0, 0, 0, 3, 17, 46
"d:\Libraries\Desktop\harryswebsite\collection-hub\manifest.json", "JSON", 0, 18, 0, 0, 0, 0, 0, 0, 1, 19
"d:\Libraries\Desktop\harryswebsite\collection-hub\milestones-backup.json", "JSON", 0, 1, 0, 0, 0, 0, 0, 0, 1, 2
"d:\Libraries\Desktop\harryswebsite\collection-hub\mobile-popout.js", "JavaScript", 67, 0, 0, 0, 0, 0, 0, 30, 17, 114
"d:\Libraries\Desktop\harryswebsite\collection-hub\package-lock.json", "JSON", 0, 386, 0, 0, 0, 0, 0, 0, 1, 387
"d:\Libraries\Desktop\harryswebsite\collection-hub\pins-backup.json", "JSON", 0, 1, 0, 0, 0, 0, 0, 0, 1, 2
"d:\Libraries\Desktop\harryswebsite\collection-hub\pins\pins.html", "HTML", 0, 0, 0, 127, 0, 0, 0, 12, 56, 195
"d:\Libraries\Desktop\harryswebsite\collection-hub\pokedex-backup.json", "JSON", 0, 22745, 0, 0, 0, 0, 0, 0, 0, 22745
"d:\Libraries\Desktop\harryswebsite\collection-hub\pokedexes\pokedexes.html", "HTML", 0, 0, 0, 289, 0, 0, 0, 38, 121, 448
"d:\Libraries\Desktop\harryswebsite\collection-hub\pokedexes\pokedexes.js", "JavaScript", 2754, 0, 0, 0, 0, 0, 0, 673, 897, 4324
"d:\Libraries\Desktop\harryswebsite\collection-hub\popfigures-backup.json", "JSON", 0, 1182, 0, 0, 0, 0, 0, 0, 0, 1182
