"filename", "language", "JavaScript", "Markdown", "HTML", "PostCSS", "Batch", "JSON", "comment", "blank", "total"
"d:\Libraries\Desktop\harryswebsite\collection-hub\pokedexes\pokedexes.js", "JavaScript", 2754, 0, 0, 0, 0, 0, 673, 897, 4324
"d:\Libraries\Desktop\harryswebsite\collection-hub\popfigures-backup.json", "JSON", 0, 0, 0, 0, 0, 173, 0, 0, 173
"d:\Libraries\Desktop\harryswebsite\collection-hub\popfigures.html", "HTML", 0, 0, -123, 0, 0, 0, -12, -59, -194
"d:\Libraries\Desktop\harryswebsite\collection-hub\popfigures\popfigures.html", "HTML", 0, 0, 147, 0, 0, 0, 12, 62, 221
"d:\Libraries\Desktop\harryswebsite\collection-hub\shiny-hunts-backup.json", "JSON", 0, 0, 0, 0, 0, 350, 0, 0, 350
"d:\Libraries\Desktop\harryswebsite\collection-hub\sleeves-backup.json", "JSON", 0, 0, 0, 0, 0, 9, 0, 0, 9
"d:\Libraries\Desktop\harryswebsite\collection-hub\sleeves.html", "HTML", 0, 0, -112, 0, 0, 0, -12, -54, -178
"d:\Libraries\Desktop\harryswebsite\collection-hub\sleeves\sleeves.html", "HTML", 0, 0, 142, 0, 0, 0, 12, 58, 212
"d:\Libraries\Desktop\harryswebsite\collection-hub\steelbooks.html", "HTML", 0, 0, -116, 0, 0, 0, -12, -55, -183
"d:\Libraries\Desktop\harryswebsite\collection-hub\steelbooks\steelbooks.html", "HTML", 0, 0, 136, 0, 0, 0, 15, 58, 209
"d:\Libraries\Desktop\harryswebsite\collection-hub\style.css", "PostCSS", 0, 0, 0, 1216, 0, 0, 295, 255, 1766
"d:\Libraries\Desktop\harryswebsite\collection-hub\sw.js", "JavaScript", 100, 0, 0, 0, 0, 0, 47, 14, 161
"d:\Libraries\Desktop\harryswebsite\collection-hub\unsaved-changes.js", "JavaScript", 104, 0, 0, 0, 0, 0, 29, 31, 164
"d:\Libraries\Desktop\harryswebsite\firebase-config.js", "JavaScript", 17, 0, 0, 0, 0, 0, 6, 4, 27
"d:\Libraries\Desktop\harryswebsite\homepage.css", "PostCSS", 0, 0, 0, -386, 0, 0, -6, -80, -472
"d:\Libraries\Desktop\harryswebsite\homepage.js", "JavaScript", -68, 0, 0, 0, 0, 0, -1, -19, -88
"d:\Libraries\Desktop\harryswebsite\homepage\homepage.css", "PostCSS", 0, 0, 0, 413, 0, 0, 16, 86, 515
"d:\Libraries\Desktop\harryswebsite\homepage\homepage.js", "JavaScript", 68, 0, 0, 0, 0, 0, 1, 19, 88
"d:\Libraries\Desktop\harryswebsite\index.html", "HTML", 0, 0, 35, 0, 0, 0, 0, 9, 44
"d:\Libraries\Desktop\harryswebsite\movie-hub\movie-nav.js", "JavaScript", 58, 0, 0, 0, 0, 0, 25, 21, 104
"d:\Libraries\Desktop\harryswebsite\movie-hub\moviehub.html", "HTML", 0, 0, 172, 0, 0, 0, 0, 39, 211
"d:\Libraries\Desktop\harryswebsite\movie-hub\wheel\wheel.css", "PostCSS", 0, 0, 0, 487, 0, 0, 24, 83, 594
"d:\Libraries\Desktop\harryswebsite\movie-hub\wheel\wheel.html", "HTML", 0, 0, 119, 0, 0, 0, 0, 42, 161
"d:\Libraries\Desktop\harryswebsite\movie-hub\wheel\wheel.js", "JavaScript", 490, 0, 0, 0, 0, 0, 41, 108, 639
"d:\Libraries\Desktop\harryswebsite\navbar.css", "PostCSS", 0, 0, 0, 202, 0, 0, 0, 42, 244
"d:\Libraries\Desktop\harryswebsite\navbar.html", "HTML", 0, 0, 2, 0, 0, 0, 0, 0, 2
"d:\Libraries\Desktop\harryswebsite\quiz-app-feature-spec.md", "Markdown", 0, 99, 0, 0, 0, 0, 0, 42, 141
"d:\Libraries\Desktop\harryswebsite\quizhub\admin-gate.js", "JavaScript", 51, 0, 0, 0, 0, 0, 14, 7, 72
"d:\Libraries\Desktop\harryswebsite\quizhub\builder.html", "HTML", 0, 0, -564, 0, 0, 0, -14, -110, -688
"d:\Libraries\Desktop\harryswebsite\quizhub\builder.js", "JavaScript", -743, 0, 0, 0, 0, 0, -33, -151, -927
"d:\Libraries\Desktop\harryswebsite\quizhub\builder\builder.html", "HTML", 0, 0, 725, 0, 0, 0, 21, 141, 887
"d:\Libraries\Desktop\harryswebsite\quizhub\builder\builder.js", "JavaScript", 1000, 0, 0, 0, 0, 0, 47, 191, 1238
"d:\Libraries\Desktop\harryswebsite\quizhub\engine\answer-matching.js", "JavaScript", 16, 0, 0, 0, 0, 0, 6, 5, 27
"d:\Libraries\Desktop\harryswebsite\quizhub\engine\answer-types.js", "JavaScript", 82, 0, 0, 0, 0, 0, 13, 19, 114
"d:\Libraries\Desktop\harryswebsite\quizhub\engine\media-utils.js", "JavaScript", 54, 0, 0, 0, 0, 0, 6, 9, 69
"d:\Libraries\Desktop\harryswebsite\quizhub\firebase\firebase-config.js", "JavaScript", -11, 0, 0, 0, 0, 0, 4, -3, -10
"d:\Libraries\Desktop\harryswebsite\quizhub\host-quiz.html", "HTML", 0, 0, -450, 0, 0, 0, 0, -90, -540
"d:\Libraries\Desktop\harryswebsite\quizhub\host-quiz.js", "JavaScript", -777, 0, 0, 0, 0, 0, -44, -150, -971
"d:\Libraries\Desktop\harryswebsite\quizhub\host-quiz\host-quiz.html", "HTML", 0, 0, 712, 0, 0, 0, 3, 131, 846
"d:\Libraries\Desktop\harryswebsite\quizhub\host-quiz\host-quiz.js", "JavaScript", 1158, 0, 0, 0, 0, 0, 99, 212, 1469
